service_town,distance_in_km,travel_time_in_hours,zone
Gbi - Kledzo,4.9,0.267,Near
Gbi - Wegbe,6.2,0.333,Near
Godenu,19.2,0.5,Near
Gbi - Avege,10.2,0.467,Near
Ve-Dator,14.3,0.6,Near
Ve- Kobenu,13.7,0.583,Near
Golokwati,21.3,0.5,Far
Afadzo South,38.4,1.017,Far
Ve -Gbodome,25.4,0.667,Far
Wuinta,30.7,0.783,Far
Logba,38.3,1.0,Far
Fume,38.3,0.917,Far
Fodome,0.65,0.65,Near
Liati,20.0,0.55,Far
Zimugaziwo snake Village,16.5,0.467,Near
Wli,22.8,0.483,Far
Leklebi,23.5,0.633,Far
Gbledi,1.3,0.05,Near
Agome yo,15.9,0.517,Near
Santrokofi,7.5,0.333,Near
Akpafu,11.9,0.417,Near
Lolobi,10.1,0.35,Near
Likpe,17.2,0.467,Near
